"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"508" "even" "if" "it" 5 11 9
"509" "everi" "time" "i" 5 10 14
"510" "famili" "and" "friend" 5 4 4
"511" "for" "a" "coupl" 5 8 5
"512" "for" "all" "the" 5 13 17
"513" "for" "him" "to" 5 5 5
"514" "for" "one" "of" 5 3 3
"515" "for" "the" "last" 5 4 9
"516" "for" "the" "most" 5 5 7
"517" "from" "the" "start" 5 3 2
"518" "game" "of" "the" 5 3 5
"519" "get" "in" "the" 5 3 4
"520" "have" "a" "chanc" 5 5 5
"521" "have" "a" "good" 5 10 28
"522" "have" "been" "a" 5 18 4
"523" "have" "to" "go" 5 9 17
"524" "he" "is" "not" 5 2 2
"525" "he" "said" "that" 5 7 3
"526" "how" "do" "you" 5 12 22
"527" "i" "dont" "want" 5 22 19
"528" "i" "had" "a" 5 34 33
"529" "i" "had" "to" 5 55 16
"530" "i" "have" "to" 5 49 53
"531" "i" "look" "at" 5 9 2
"532" "i" "love" "the" 5 21 17
"533" "i" "think" "he" 5 4 5
"534" "i" "was" "a" 5 38 15
"535" "if" "you" "can" 5 5 13
"536" "if" "you" "were" 5 6 7
"537" "in" "high" "school" 5 4 9
"538" "in" "honor" "of" 5 4 4
"539" "in" "order" "to" 5 38 10
"540" "in" "the" "air" 5 7 6
"541" "in" "the" "bottom" 5 2 2
"542" "in" "the" "field" 5 3 2
"543" "in" "the" "th" 5 8 8
"544" "in" "the" "top" 5 2 4
"545" "in" "this" "case" 5 7 2
"546" "in" "time" "for" 5 4 3
"547" "in" "to" "the" 5 5 3
"548" "is" "a" "great" 5 12 8
"549" "is" "kind" "of" 5 4 2
"550" "is" "part" "of" 5 12 6
"551" "is" "tri" "to" 5 7 5
"552" "it" "in" "a" 5 7 6
"553" "it" "kind" "of" 5 5 4
"554" "it" "up" "to" 5 7 7
"555" "it" "was" "like" 5 9 5
"556" "keep" "up" "with" 5 11 3
"557" "know" "how" "to" 5 16 15
"558" "last" "year" "the" 5 2 2
"559" "live" "in" "a" 5 10 4
"560" "look" "at" "a" 5 6 3
"561" "lot" "of" "fun" 5 6 5
"562" "may" "have" "been" 5 9 2
"563" "meet" "with" "the" 5 3 3
"564" "middl" "of" "the" 5 7 5
"565" "more" "than" "that" 5 6 2
"566" "no" "matter" "how" 5 12 5
"567" "none" "of" "the" 5 4 3
"568" "not" "so" "much" 5 9 6
"569" "not" "to" "mention" 5 10 2
"570" "of" "all" "the" 5 13 4
"571" "of" "peopl" "who" 5 7 3
"572" "of" "the" "week" 5 14 6
"573" "of" "those" "who" 5 4 2
"574" "on" "how" "to" 5 6 3
"575" "on" "the" "ground" 5 5 2
"576" "on" "the" "way" 5 7 11
"577" "onli" "a" "few" 5 6 3
"578" "out" "of" "a" 5 6 7
"579" "over" "and" "over" 5 6 6
"580" "pick" "up" "a" 5 6 10
"581" "place" "in" "the" 5 7 2
"582" "readi" "for" "a" 5 4 10
"583" "run" "out" "of" 5 3 4
"584" "should" "not" "be" 5 3 5
"585" "that" "i" "was" 5 27 6
"586" "that" "this" "is" 5 9 2
"587" "that" "was" "a" 5 11 18
"588" "the" "front" "of" 5 3 3
"589" "the" "life" "of" 5 6 3
"590" "the" "need" "to" 5 12 5
"591" "the" "next" "few" 5 6 3
